Sl. No.,CRIME HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
169,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Cars / Jeeps,277,29,24,20
170,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Two Wheelers ,11111,914,868,939
171,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Automobies - of Three Wheelers,292,18,28,29
172,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Accessories of Motor Vehicle,322,21,21,23
173,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Govt. Vehicle,1,0,0,0
174,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),"Electronic Goods (Radio, TV, VCR, Acs, Office Automation Equipments)",1670,161,130,153
175,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Fire Arms,4,1,0,1
176,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Explosives,1,0,0,0
177,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Cultural - Idols,11,0,1,0
178,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Cultural - Painting,1,0,1,0
179,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Of Cultrual - Others,254,28,20,22
180,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Cash,522,41,48,64
181,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Jewellery,883,81,81,101
182,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Other Items Not Included Above,1806,181,160,165
183,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),In Running Train,49,3,4,10
184,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Extortion,161,14,18,18
185,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),House Theft,1299,86,127,149
186,A- IPC CRIME,THEFT (Sec.379 to 389 IPC),Servant Theft,334,25,24,36
187,A- IPC CRIME,RIOTS (Sec.141 to 153 IPC),Land Dispute,1109,96,72,98
188,A- IPC CRIME,RIOTS (Sec.141 to 153 IPC),Employee - Govt.,4,0,0,1
189,A- IPC CRIME,RIOTS (Sec.141 to 153 IPC),Labour - Private Sector,7,0,0,0
190,A- IPC CRIME,RIOTS (Sec.141 to 153 IPC),Labour - Public Sector,3,0,0,0
191,A- IPC CRIME,RIOTS (Sec.141 to 153 IPC),Linguistic,1,1,1,0
192,A- IPC CRIME,RIOTS (Sec.141 to 153 IPC),Political ,35,3,4,0
193,A- IPC CRIME,RIOTS (Sec.141 to 153 IPC),Regional,15,0,2,0
194,A- IPC CRIME,RIOTS (Sec.141 to 153 IPC),Sectarian,2,0,0,0
195,A- IPC CRIME,RIOTS (Sec.141 to 153 IPC),Students,8,2,0,1
196,A- IPC CRIME,RIOTS (Sec.141 to 153 IPC),Tribal,0,0,0,0
197,A- IPC CRIME,RIOTS (Sec.141 to 153 IPC),Due to Village Disputes,26,3,2,1
198,A- IPC CRIME,RIOTS (Sec.141 to 153 IPC),Communal,16,0,0,1
199,A- IPC CRIME,RIOTS (Sec.141 to 153 IPC),Industrial,5,0,2,0
200,A- IPC CRIME,RIOTS (Sec.141 to 153 IPC),Caste,7,0,0,1
201,A- IPC CRIME,RIOTS (Sec.141 to 153 IPC),Agrarian,2,0,0,0
202,A- IPC CRIME,RIOTS (Sec.141 to 153 IPC),Others,2679,204,193,209
203,A- IPC CRIME,"OFFENCES AGAINST STATE (Sec. 121 to 130, except 124(A) IPC)",NA,0,0,0,0
204,A- IPC CRIME,"OFFENCES PROMOTING ENEMITY (Sec. 153(A), 154(B) & 505 IPC",NA,59,8,2,3
205,A- IPC CRIME,CRIMINAL BREACH OF TRUST,NA,464,37,35,47
206,A- IPC CRIME,CHEATING (Sec.417 to 420 IPC),NA,6405,615,573,650
207,A- IPC CRIME,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )","Stock Share, Debentrue Certificate",0,0,0,0
208,A- IPC CRIME,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Usage of Counterfeit Stamp,0,0,0,0
209,A- IPC CRIME,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Coins (Sec 231 to 254 IPC),0,0,0,0
210,A- IPC CRIME,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Stamps (Sec.255 to 263(A) IPC),0,0,0,0
211,A- IPC CRIME,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Currency Notes And Bank Notes (Sec. 489 (A) to 489 (E) IPC),29,4,4,4
212,A- IPC CRIME,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Others,3,0,0,0
213,A- IPC CRIME,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Forgery  ,373,35,25,32
214,A- IPC CRIME,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Organised (Racket),0,0,0,0
215,A- IPC CRIME,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Forgery of Passport,1,0,0,0
216,A- IPC CRIME,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Other Forgery,181,11,10,20
217,A- IPC CRIME,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Acid Attack (326(a)),7,0,0,0
218,A- IPC CRIME,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Attempt to Acid Attack (326(b)),4,0,0,0
219,A- IPC CRIME,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Grievous Hurt,1215,101,83,76
220,A- IPC CRIME,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Simple Hurt,14088,1106,1082,1252
221,A- IPC CRIME,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Custodial,0,0,0,0
222,A- IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Attempt to Commit,0,0,0,0
223,A- IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Alcoholic Drink (Liquor),4,0,1,0
224,A- IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Cement & Chemical/Fertiliser,0,0,0,0
225,A- IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Cosmetics,0,0,0,0
226,A- IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Diesel,0,0,0,0
227,A- IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Drug/Medicine,1,0,0,1
228,A- IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Edible Oil,0,0,0,0
229,A- IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Food Grain,1,0,0,1
230,A- IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Kerosene,0,0,0,0
